lang,quant,ppl_q,ppl_base,ppl_ratio,kld_mean,kld_median,kld_999,same_top
el,Q6_K,6.367165,6.339849,1.004309,0.006243,0.003118,0.159637,95.528
el,Q5_K_M,6.400927,6.339849,1.009634,0.011564,0.005729,0.265106,94.09
el,Q4_K_M,6.545828,6.339849,1.03249,0.034799,0.017242,0.880608,90.033
el,Q3_K_M,7.360644,6.339849,1.161013,0.158694,0.077046,3.131883,80.324
el,Q2_K,16.953922,6.339849,2.674184,0.986603,0.618562,8.44967,50.325
en,Q6_K,12.62786,12.587593,1.003199,0.00455,0.002958,0.118711,96.269
en,Q5_K_M,12.681275,12.587593,1.007442,0.008544,0.005589,0.185961,94.993
en,Q4_K_M,12.853841,12.587593,1.021152,0.025319,0.015884,0.571611,91.27
en,Q3_K_M,13.550237,12.587593,1.076476,0.100116,0.062723,2.319594,83.807
en,Q2_K,18.999312,12.587593,1.509368,0.454087,0.309598,5.92546,67.885
